                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     97,                0.71933,                0.35148,                0.94763,                0.98736,                 0.9858,                 0.9934,                0.77241,                0.86828,                0.34533,                 1.0242,             0.00037824,             0.00037824,             0.00037824
                     98,                0.71037,                0.34347,                0.93423,                0.98255,                0.98428,                0.99308,                0.77801,                0.86124,                0.33379,                 1.0123,             0.00037471,             0.00037471,             0.00037471
                     99,                0.72061,                 0.3452,                0.93259,                0.98194,                0.98383,                0.99326,                0.77679,                0.86375,                0.33393,                 1.0198,             0.00037117,             0.00037117,             0.00037117
                    100,                0.72347,                0.34377,                0.93577,                0.98175,                 0.9893,                0.99291,                 0.7743,                0.86669,                0.34133,                 1.0159,             0.00036764,             0.00036764,             0.00036764
                    101,                0.70578,                0.34062,                0.94109,                0.98128,                0.98946,                0.99317,                0.76565,                0.85906,                0.34094,                 1.0157,              0.0003641,              0.0003641,              0.0003641
                    102,                0.72215,                0.34741,                0.93949,                0.98266,                0.98849,                0.99331,                0.77032,                0.86122,                0.32914,                 1.0126,             0.00036057,             0.00036057,             0.00036057
                    103,                0.70857,                0.33975,                0.92806,                0.98417,                 0.9872,                0.99314,                0.76687,                0.86638,                0.33955,                 1.0132,             0.00035704,             0.00035704,             0.00035704
                    104,                0.71637,                0.34165,                0.93944,                0.98245,                0.99156,                0.99366,                0.77613,                0.86223,                0.33793,                 1.0192,              0.0003535,              0.0003535,              0.0003535
                    105,                0.70807,                0.34203,                0.93772,                0.98404,                0.98628,                 0.9934,                0.77045,                0.84868,                0.33421,                   1.02,             0.00034997,             0.00034997,             0.00034997
                    106,                0.70431,                0.33987,                0.94052,                0.98434,                0.98478,                0.99355,                0.77574,                0.84673,                0.33244,                 1.0183,             0.00034643,             0.00034643,             0.00034643
                    107,                0.70989,                0.33429,                0.92453,                0.98472,                0.98666,                0.99346,                0.77478,                0.85465,                0.33181,                 1.0146,              0.0003429,              0.0003429,              0.0003429
                    108,                 0.6952,                0.33028,                0.92651,                0.98527,                0.98518,                0.99323,                0.77754,                0.85917,                0.33102,                 1.0164,             0.00033936,             0.00033936,             0.00033936
                    109,                 0.7101,                0.34003,                0.93709,                0.98261,                0.98609,                 0.9928,                0.77947,                0.84691,                0.32908,                 1.0199,             0.00033583,             0.00033583,             0.00033583
                    110,                0.69466,                 0.3322,                0.93419,                0.98284,                0.98279,                0.99266,                0.77814,                0.84851,                0.33527,                 1.0253,              0.0003323,              0.0003323,              0.0003323
                    111,                0.69254,                0.33788,                0.93353,                0.98291,                0.97658,                 0.9926,                0.77659,                0.85525,                0.33758,                 1.0182,             0.00032876,             0.00032876,             0.00032876
                    112,                0.68049,                0.32802,                 0.9394,                0.98349,                0.98509,                0.99317,                0.77282,                0.86018,                0.32991,                 1.0299,             0.00032523,             0.00032523,             0.00032523
                    113,                 0.6712,                0.32801,                0.92088,                0.98524,                 0.9875,                0.99372,                0.77711,                0.86052,                0.33078,                 1.0308,             0.00032169,             0.00032169,             0.00032169
                    114,                 0.6884,                0.32973,                0.93737,                0.98675,                0.97939,                0.99287,                0.77383,                0.86491,                0.34095,                 1.0288,             0.00031816,             0.00031816,             0.00031816
                    115,                0.68611,                0.33277,                 0.9358,                0.98672,                0.98206,                 0.9935,                0.76755,                0.84938,                0.33678,                 1.0201,             0.00031462,             0.00031462,             0.00031462
                    116,                0.67854,                0.32917,                0.93188,                0.98215,                0.98381,                0.99405,                0.76049,                0.85554,                0.34187,                 1.0214,             0.00031109,             0.00031109,             0.00031109
                    117,                  0.668,                0.31713,                0.91692,                0.98489,                0.98483,                0.99395,                0.75678,                0.85177,                0.33567,                 1.0155,             0.00030756,             0.00030756,             0.00030756
                    118,                0.67814,                0.32696,                0.92641,                0.98725,                0.98701,                0.99379,                0.77779,                 0.8582,                0.31814,                 1.0155,             0.00030402,             0.00030402,             0.00030402
                    119,                0.65234,                0.31493,                0.91947,                0.98341,                0.98428,                0.99272,                 0.7802,                0.85479,                0.32879,                 1.0165,             0.00030049,             0.00030049,             0.00030049
                    120,                  0.672,                0.32079,                0.92408,                 0.9832,                0.98605,                0.99428,                0.77648,                0.85912,                0.32642,                 1.0187,             0.00029695,             0.00029695,             0.00029695
                    121,                0.68354,                0.32086,                0.92562,                0.98645,                0.98525,                0.99385,                0.77836,                0.86349,                0.32283,                 1.0165,             0.00029342,             0.00029342,             0.00029342
                    122,                0.65792,                0.31364,                 0.9158,                0.98197,                0.97971,                0.99328,                0.77825,                0.85686,                0.32435,                  1.009,             0.00028988,             0.00028988,             0.00028988
                    123,                0.68163,                0.31823,                0.92462,                0.98522,                0.98192,                0.99356,                0.77945,                0.85629,                 0.3262,                 1.0061,             0.00028635,             0.00028635,             0.00028635
                    124,                0.65484,                0.31365,                0.92365,                0.98526,                0.98477,                0.99371,                0.78056,                0.86004,                0.32352,                 1.0133,             0.00028282,             0.00028282,             0.00028282
                    125,                0.63394,                0.31138,                0.91404,                0.98415,                0.98568,                0.99355,                0.77493,                0.85553,                0.32773,                 1.0224,             0.00027928,             0.00027928,             0.00027928
